chunk,question,answer
"filmtec membranes can tolerate brief chlorine exposure but prolonged contact leads to failure","Can FilmTec membranes handle chlorine contact?","They can endure short-term exposure, but extended contact will eventually damage the membrane."
"chlorine attack rate increases at higher pH and in the presence of transition metals","What factors accelerate membrane oxidation by chlorine?","High pH and the presence of iron or other metals catalyze the degradation of membrane polymers."
"proper dechlorination and monitoring are required to preserve membrane lifespan","How can operators extend RO membrane life in chlorinated systems?","By ensuring complete dechlorination before feedwater contacts the membranes and regularly monitoring chlorine levels."
"membrane oxidation from chlorine is irreversible and leads to permanent performance loss","Is chlorine-induced membrane damage reversible?","No, oxidation causes lasting structural changes that permanently impair membrane function."
"dechlorination methods include activated carbon filtration and sodium bisulfite dosing","What are common techniques for chlorine removal before RO?","Activated carbon and sodium bisulfite effectively neutralize chlorine, protecting membranes from damage."
"chlorine presence is monitored using ORP meters or colorimetric chlorine test kits","How is residual chlorine detected in water treatment?","By using oxidation-reduction potential (ORP) measurements or chemical reagent-based test kits."
"chlorine must be fully removed before startup or restart of RO systems","Why is dechlorination critical before operating RO units?","To prevent membrane exposure to residual chlorine that may remain in the pretreatment system after shutdown."
"periodic flushing and verification of chlorine absence are essential after chlorination events","What is required after chlorination before resuming RO operation?","Flushing the system and verifying chlorine-free conditions through testing."
"ORP values below 200 mV often indicate successful dechlorination of feedwater","What ORP reading confirms chlorine has been removed?","An ORP of less than 200 millivolts suggests that free chlorine is no longer present in the water."
"service bulletin sb4140055gten01 title compressor , nde port plug , removal and installation , wframe november 13 , 2014 page 4 of 7 a. removal of existing plugs the removal of nde port plugs can present some difficulty if proper procedures had not been followed during the previous installation . however , in most situations plugs can be removed following standard nondestructive removal procedure . caution do not exceed the manufacturers recommended torque rating for tooling to avoid equipment damage and personal injury . siemens recommends monitoring the torque applied when removing plugs . in those cases where nondestructive removal methods are not successful , contact your siemens representative to confirm the use of nontraditional techniques for plug removal . b. installation of plugs contact your siemens representative if you encounter any conditions not addressed in the installation procedure as outlined below or if you have any questions or issues regarding the installation of the plugs . 1. check condition of interfaces 1.1. check threads , counterbores and that spotfaces would impede assembly of the plugs and gaskets . for any obstruction moval . in general , gaskets are al ways replaced since they typically incur some permanent deformation which","What precautions should be taken when removing and installing NDE port plugs in Siemens compressors?","During removal, avoid exceeding the manufacturer’s recommended torque rating to prevent equipment damage or injury, and monitor applied torque. If nondestructive methods fail, contact Siemens for guidance. During installation, inspect threads and sealing surfaces, and consult Siemens for any conditions not covered in the procedure."
"could impact their sealing ef fectiveness when reused . plugs should always be replaced if they were difficult to remove e.g. , due to binding during hand removal . how ever , the plugs and gaskets could be reused if no binding , damage , distor tion or distress is found during their removal and inspection . 2. clean interfaces 2.1. clean internal blade ring and exter nal cylinder female and plug male threads with petroleum distillate sol vent or denatured alcohol or their equivalent , by carefully using thread chasers not cutting taps or dies or stainless steel or nylon wire brushes . caution preferably , and , use only hand pressure when cleaning especially with thread chasers . exercise special care with thread chasers to avoid thread damage such as cross threading . use loctite 8009 heavy duty antiseize or dow corning molykote p37 antiseize paste when using thread chas ers to aid in removal of any loose chips and dirt generated . 1.2. remove any obstructions and repair hole as needed . 1.3 check the plug for any damage , distor tion or distress of the head or body including threads and replace as needed . 1.4","How should the plug interfaces be cleaned and inspected before installation?","Clean both internal and external threads using petroleum distillate solvent or denatured alcohol, applying only hand pressure with thread chasers to prevent cross-threading. Avoid cutting taps or steel brushes. Inspect plugs and gaskets for any distortion or damage, replacing them if necessary."
"if used , check the gasket for gross dis tortion andor cracking and replace as needed . note the preference is to install new plugs and gaskets after every re 2.2. with the same solvent , clean spotfac es , counterbores , gaskets and plug head mating surfaces . make sure to completely remove all preservative if present on threads of plugs . note for cleaning holes , the following steps are recommended 1 apply solvent to a clean to inch diameter bottle brush , siemens energy , inc. 2014. all rights reserved . al n eccn ear99 confidential service bulletin sb4140055gten01 title compressor , nde port plug , removal and installation , wframe november 13 , 2014 page 5 of 7 2 insert wetted brush into hole for full length of thread engage ment , and 3 remove brush in a counterclockwise direction while maintaining hand pressure contact with surfac es of female threads . 3. inspect cleaned interfaces 3.1. inspect the threads , counterbores and spotfaces for damage . 3.2. report any damage to your siemens representative and request repair in structions . 4. air dry interfaces 4.1. allow all cleaned surfaces to air dry at room temperature","What is the recommended method for cleaning and inspecting holes and gaskets before installation?","Use a solvent-soaked bottle brush to clean holes fully, rotating counterclockwise while maintaining pressure on the threads. Clean gaskets, counterbores, and plug head surfaces with the same solvent, ensuring all preservatives are removed. Replace any distorted or cracked gaskets and report thread or surface damage to Siemens for repair instructions."
". 4.2. air dry time shall be at least 30 minutes if petroleum distil late or 10 minutes if denatured alcohol was used before proceeding to section 5 . 5. apply antiseize to interfaces 5.1. apply loctite 8009 heavy duty antiseize corning or molykote p37 antiseize paste with to a completely 1 fill all male thread grooves on sufficient amount dow plugs . 2 coat mating female threads , spot counterbores and plug faces , heads . 5.2. examples of recommended antiseize application are shown in figures 2 and 3. apply antiseize with sufficient amount to completely fill thread grooves all around and for full length of plug thread . apply antiseize with sufficient amount to completely coat mating surface of plug head . apply antiseize with sufficient amount to completely coat hole id all around and for full length of plug thread . apply antiseize with sufficient amount to completely coat mating surface of counterbore and spotface . figure 2 recommended application of antiseize on external or outer plug hole with gasket figure 3 recommended appli cation of antiseize on internal or inner plug hole siemens energy , inc. 2014. all rights reserved . al n eccn ear99 confidential","How should antiseize compounds be applied during plug installation?","Apply Loctite 8009 or Molykote P37 antiseize to completely fill all male thread grooves and coat female threads, counterbores, and plug head surfaces. Ensure full coverage along the plug length and mating surfaces to prevent thread seizure and ensure proper sealing."
"service bulletin sb4140055gten01 title compressor , nde port plug , removal and installation , wframe november 13 , 2014 page 6 of 7 note for applying antiseize to holes , the following steps are recommended 1 apply antiseize to a clean to inch diameter bottle brush , 2 insert wetted hole slightly beyond outermost first thread , and brush into 3 insert brush in a clockwise direction while maintaining hand pressure con tact with surfaces of female threads for full length of thread engagement . the recommendation is to apply antiseize to the plug after applying to hole and espe cially after internal blade ring or vane carrier plug is installed onto the special tool designed for this internal assembly through the outer casing . see note at end of table 1 for more info on special tooling . 6. assemble and tighten plugs 6.1. as shown in table 1 on page 7 , as semble plug either onto special tool for internal vane carrier or blade ring installation or through gasket onto external casing . a gasket is not used with an npt plug . caution as applicable , do not install an external plug until the corre is","What steps should be followed when applying antiseize and assembling the plugs?","Apply antiseize to the hole using a solvent-soaked brush inserted clockwise for full thread engagement, then apply to the plug. For internal assemblies, use the specified special tool to install the plug through the outer casing. Assemble and tighten according to Table 1, noting that NPT plugs do not require gaskets."
"sponding properly torqued at its final setting . internal plug 6.2. tighten plug hand tight to ensure free running threads . caution do not force threading of plug in to hole as this may cause thread damage to both plug and hole . if binding or difficulty in installing the plug occurs , attempt to remove plug slowly and repeat steps of sections 1 through 6 as needed . note for applying torque in the next two steps , the recommendation is to apply torque at least three 3 times i.e. , for three clicks of torque wrench to check torque application and plug ro tation at the beginning and ending of the wait for relaxation . 6.3. torque plug per table 1 making sure plug does not rotate when torque level is achieved . 6.4. apply torque again after at least 30 seconds to overcome possible re laxation . 6.5. repeat torque check of previous two steps till plug does not move . potential benefits implementation of these procedures is intend ed to ease the removal of plugs thus allowing compressor borescope inspections and align ment checks to be performed within the allot ted outage time frame . recommendation","What is the recommended torque procedure for installing internal plugs?","The recommended procedure is to hand-tighten the plug, apply torque at least three times to ensure stability, reapply torque after 30 seconds to overcome relaxation, and repeat until the plug no longer moves. This method helps prevent thread damage and eases plug removal during compressor inspections."
"siemens recommends that these removal and installation procedures be followed to help reduce the occurrences of stuck or seized alignment andor borescope plugs andor damage to the hole threads . please contact your siemens representative to arrange for the removal of stuck or seized plugs , repair of damaged holes , for further information andor if you have any question in relation to the contents of this bulletin . siemens energy , inc. 2014. all rights reserved . al n eccn ear99 confidential service bulletin sb4140055gten01 title compressor , nde port plug , removal and installation , wframe november 13 , 2014 page 7 of 7 notes for additional information on the new design plugs for the compressor and related sections of these engines refer to cid120 pb3140046gten01 , compressor , nde alignment and borescope ports , upgrade , w501g cid120 pb3140047gten01 , compressor nde alignment and borescope ports , upgrade , w501fc to sgt65000f3 cid120 pb3140054gten01 , compressor , nde alignment and borescope ports , upgrade , sgt65000f455ee table 1 nde port plugs and gaskets with torque and special equipment requirements plug size plug style gasket style location special tool m24x1.5 p0002407900 no gasket internal required m24x1.5 p0002407900 pg0033432100","What does Siemens recommend to avoid stuck or damaged compressor plugs?","Siemens advises following the prescribed removal and installation procedures to minimize occurrences of stuck or seized alignment plugs and thread damage. Users should contact Siemens for assistance with plug removal, hole repair, or further information about updated plug designs."
"external not required m48x1.5 pb0000160546 no gasket internal not required m48x1.5 pb0000160546 p0002408000 external not required m24x1.5 pw8154d30001 no gasket internal required m24x1.5 pw8154d30001 pg0033432100 pw8154d30004 external not required torque nm torque ftlb 70 70 135 135 100 100 52 52 100 100 74 74 m48x1.5 pw8154d30002 no gasket internal not required 271 200 m48x1.5 pw8154d30002 pg0033432200 pw8154d30003 external not required 271 200 m24x1.5 pw9d14342001 no gasket internal required 100 74 m48x5 pw9d12749002 pg0033432200 pw8154d30003 external not required 271 200 m18x2.5 pw9d12749001 pg0033432000 external not required 30 22 npt npt any any no gasket internal required no gasket external not applicable to turn past hand tight the gasket can be installed in either orientation peak up or peak down a special tool is required to install internal or inner plugs . please contact your siemens representative to confirm the tool currently used is adequate andor inquire about obtaining a proper tool from siemens plug removal tool style pg0031236200 or equivalent . this tool must be used with a socket tip having a 1.5 inch 38.1 mm outside diameter od . siemens energy , inc. 2014. all rights reserved . al n eccn ear99 confidential","What are the torque and tooling requirements for Siemens NDE port plugs?","Torque values for NDE port plugs vary by plug size, ranging from 30 Nm to 271 Nm, and installation of internal plugs requires a special Siemens removal tool (PG0031236200 or equivalent) with a 1.5-inch socket tip. Gaskets can be installed in either orientation."
"gas turbine sb4170022gten01 service bulletin dlnuln burner baskets , wax ring upgrade , w501f sgt65000f siemens energy , inc. 2017. all rights reserved . confidential service bulletin sb4170022gten01 october 10 , 2017 title dlnuln burner baskets , wax ring upgrade , w501f sgt65000f machine type gas turbine timing for implementation urgency minimum outage type sgt65000f w501f units with dlnuln baskets none at customer discretion productivity improvement combustor inspection it is the sole responsibility of the user to carefully consider the information and recommendations in cluded in this bulletin to determine if the information is appropriate to the users specific product , com ponent or services in a particular circumstance , and to exercise reasonable care and skill in the imple mentation of this bulletin including any recommendations . if there are any questions regarding its con tents , or if further information is required , siemens should be consulted . siemens energy , inc. 2017. all rights reserved . al n , eccn ear99 317mu001301 confidential page 2 of 4 service bulletin sb4170022gten01 october 10 , 2017 title dlnuln burner baskets , wax ring upgrade , w501f sgt65000f the dlnuln style burner baskets used in siemens f frame gas turbines","What is the purpose of the Siemens service bulletin SB4170022GTEN01?","This bulletin informs users about the wax ring upgrade for DLN/ULN burner baskets in Siemens F-frame gas turbines. It advises users to assess applicability and consult Siemens before implementing the recommendations to improve combustor inspection productivity."
"will now come equipped with a wax ring , poured between the spring clips and the basket outer liner . this wax ring allows for basket installation into transitions without the need for certain alignment tools and procedures which pro vides value by reducing the outage time as sociated with the transition alignment pro cess . technical information in points along the repair supply chain , the spring clips are preset , with engineered tooling , to the diameter of the transition . to help main tain this preset , wax is poured in the gap be tween the basket spring clips and the basket outer liner refer to figure 1. this helps ensure that the transition inlet mouth is aligned to the basket exit mouth during field installation . the wax that siemens uses is capable of staying solid up to 100 c , and evaporates on start up . with the addition of the wax ring the potential also exists to take the transition alignment off critical path during a combustor inspection ci by helping to reduce the time associated with the transition alignment process . figure 1 basket with wax ring potential benefits the potential benefits of","What benefits does the wax ring upgrade provide for Siemens DLN/ULN burner baskets?","The wax ring simplifies installation by eliminating the need for alignment tools, maintaining transition alignment, and reducing outage time during combustor inspections. It remains solid up to 100°C and evaporates upon startup."
"using a burner basket incorporating a wax ring can include outage time reduction improved serviceability notes siemens field service has validated that utilizing the wax ring for transition alignment is a productivity enhancement to the current pro cess . it is recommended that the installation of the dlnuln style burner baskets with the wax ring be implemented by siemens authorized person nel to optimize the benefits above . please contact your siemens representative for further information andor if you have any ques tion in relation to the contents of this bulletin . siemens energy , inc. 2017. all rights reserved . al n , eccn ear99 317mu001301 confidential page 3 of 4 service bulletin sb4170022gten01 october 10 , 2017 title dlnuln burner baskets , wax ring upgrade , w501f sgt65000f confidentiality disclaimer this bulletin is confidential to siemens . it is to be used solely by the user for the purpose for which it is furnished , which , where indicated , is to warn the user of a potential risk in respect of a standard sie mens product , component or service that may require the users attention . neither this document nor any information contained in it or","What are the recommended practices for installing DLN/ULN burner baskets with wax rings?","Siemens recommends that DLN/ULN burner baskets with wax rings be installed only by authorized personnel to ensure optimal performance and productivity benefits. The wax ring design improves serviceability and reduces outage time during maintenance operations."
"obtained from it is to be reproduced , transmitted , disclosed to any third party , or used otherwise in whole or in part without the prior written authorization of siemens . this bulletin is provided without charge on the basis of information reviewed by siemens prior to issuing this bulletin . accordingly no representation , war ranty or guarantee , express or implied , is made or shall be deemed to be made regarding the fitness , accuracy , completeness , usefulness or otherwise of the information , recommendations and descriptions contained in or provided through this bulletin . to the fullest extent permitted by law , neither siemens nor any of its affiliates , nor any of their respec tive contractors , subcontractors or suppliers will be liable in contract , tort including negligence or strict liability or otherwise for any special , indirect , incidental , or consequential damage or loss whatsoever , or for a loss of , damage to property , equipment , power system or plant b loss of use of equipment , power system or plant c cost of capital , infringement of intellectual property rights , loss of profit or revenues ,","What legal disclaimer does Siemens include with its service bulletins?","Siemens states that its service bulletins are confidential and provided without warranty or guarantee regarding accuracy or completeness. The company disclaims liability for any indirect, incidental, or consequential damages, including property damage, loss of profit, or system downtime."
"cost of pur chased or replacement power , loss of data , additional costs and expenses in the use of existing power facilities , or claims against the user by its customers siemens energy , inc. 2017. all rights reserved . al n , eccn ear99 317mu001301 confidential page 4 of 4","What types of damages are excluded from Siemens’ liability in its service bulletins?","Siemens excludes liability for losses such as replacement power costs, data loss, additional operational expenses, and third-party claims arising from the use of its products or services. These exclusions are part of the company’s legal disclaimer for service bulletins."
"service bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines received component . refer to the applicable service bulletin for your frame type . provide adequate protection against damage and deterioration during shipment , handling and storage to the final destination . as required , endure prolonged exterior stor age exposed to the elements at the final des tination of up to one year . satisfy applicable carrier regulations and meet recognized commercial size parameters for container dimensions . component preservation parties responsible for shipping refurbished gas turbine components are responsible to provide adequate protection against damage and deterio ration during shipment , handling and temporary storage at the ultimate destination . preservatives should not be applied unless specified in the con tract , repair order or other instructions from sie mens concerning the shipment . returned gas turbine parts must be must be packaged in a manner suitable for long term preservation . for example , prolonged exterior storage exposed to the elements at the final des tination can cause alloy steel , such as 400 series stainless steel , to corrode over time . table 1 vci packaging and preservation information","What are Siemens’ packaging and storage guidelines for gas turbine components?","Siemens requires that gas turbine components be protected against damage and deterioration during transport and storage for up to one year. Preservatives should only be applied if specified, and components must be packaged for long-term preservation to prevent corrosion, particularly in alloy steels."
"on preservation of materials and storage guidelines can be obtained by contacting local siemens service representatives . all preservatives and packaging materials are to be applied according to the requirements shown in appendix b siemens material reference numbers . as necessary , contact the siemens technical field representative tfr . preservation and packaging vapor corrosion inhibitor vci is required for items a and all international shipments in the table below , but is only recommended for items b and c. suppliers shipping items a or international shipments without vci will be in violation of this specification . see table 1. information on large overseas packaging for specified parts can be found in preservation and packaging of gas turbine large compo nents shipping overseas section . vci material should not to be stocked for more than six months before use . unused vci material should be kept in original packing and should be stored in a cool , dry area and away from direct sunlight . vci material should not be subjected to excessive moisture or heat before use . siemens energy , inc. 2018. all rights reserved . al n , eccn ear99 318sv009301 confidential page 4 of 61 service","What are the requirements for using VCI materials in Siemens packaging procedures?","Vapor Corrosion Inhibitor (VCI) materials are mandatory for Category A items and all international shipments, while recommended for other items. VCI materials must be stored properly, used within six months, and applied according to Siemens’ material reference specifications."
"bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines unitized palletized loads shipping information marking requirement unitized load a single item , or a number of items packaged , packed or arranged in a speci fied manner on a pallet securely strapped or fastened and capable of being handled as a unit . the following minimum shipping information markings are to be placed on one end and on one side of the container using permanent mark ing media of a contrasting color . when stretch wrapping is used to secure con tainers to a pallet , it must be applied by machine . hand or manual stretch wrapping is not recommended . among other things , hand or manual stretching is far less likely to achieve the proper stretch to prevent the con tainers from shifting during shipment . gross pallet weight is to be taken into consid eration when creating unitized load . load must be marked to notify shipper if the unit load can be stacked and maximum load stack height . load should not overhang the perimeter of the pallet . steel metal banding is preferred method to attach a","What are the marking and packaging requirements for unitized palletized loads?","Each unitized palletized load must include shipping information on one end and one side in a permanent, contrasting color. Stretch wrapping must be machine-applied, not manual, and steel metal banding is preferred for securing the pallet. Loads must indicate stacking capability, maximum height, and avoid overhanging the pallet perimeter."
"load to pallet . other safety precautions may apply . storage 1 . 2 . 3 . 4 . 5 . 6. purchase ordercontract number and line item number component style number and descrip tion quantity container of total containers ship to company name and address shipped from company and address labeling for return of reusable containers parties who require that the repaired material be returned in the container in which the materials were shipped or desire return of the empty con tainers must stencil at a minimum the follow ing information on the outside of the container in at least two places in large block letters . when containers are used for component stor age , provisions must be made to protect the con tainers from the elements regardless of container construction standard or premium . empty con tainers should be stored indoors or covered with outdoors . waterproof covering stored if do not destroy reusable container property of siemens energy , inc. 2018. all rights reserved . al n , eccn ear99 318sv009301 confidential page 5 of 61 service bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines reuse of container","What labeling and storage requirements apply to reusable containers?","Reusable containers must display stenciled information in at least two places with large block letters including shipping and return details. Containers used for storage must be protected from environmental exposure, stored indoors or covered outdoors, and clearly labeled as Siemens property if reusable."
"all containers considered for reuse are to be in spected for acceptability prior to use . a container is unacceptable and is not to be re used , for example , if cardboard or similar materials are utilized , or badly damaged and requires major repairs , or the container does not meet the minimum conditions listed below . guidance for reuse of standard wooden con tainers if the integrity of a standard wooden container is questionable , it is the shippers responsibility to determine if repairs are feasible or if the con tainer is to be discarded . where a standard wooden container is being considered for reuse , it should , at a minimum , be inspected for all of the following conditions and compliance with the other requirements of this service bulletin . see the following section , gen eral container definition the container provides a stable footprint and lifting capabilities . the box is constructed from a minimum of plywood . utilizes internal or external framing given the size and weight capacities . the internal bracing protects the compo nents from movement during transit . the fasteners are functioning and the joints are secure . the","What conditions must be met for reusing a standard wooden container?","A standard wooden container must have a stable base and lifting capacity, be made of plywood with proper framing, have intact fasteners and joints, and provide internal bracing for component protection. Containers made of cardboard, damaged, or not meeting these requirements cannot be reused."
"top lidclosure can be fastened properly and provides protection from the elements . the container must withstand , at a mini mum , one round trip two shipments . guidance for reuse of premium nonwood , commercial containers if the integrity of a premium commercial con tainer is questionable , it is the shippers respon sibility to determine if repairs are feasible or if the container is to be discarded . where a premium commercial container is be ing considered for reuse , it should be inspected for , at a minimum , the following conditions the container provides proper lifting capabili ties . has the required internal bracing to protect the components . the top lidclosure can be fastened properly and provide protection from the elements . the container must withstand , at a mini mum , one round trip two shipments . general container definition guidelines refer to the national motor freight classification nmfc . more information can be found on the internet at httpwww.nmfta.org . the national motor freight classification nmfc is a publication that contains approximately 10,000 descriptions of commodities transported by motor carriers providing interstate or intra state service and other related subjects . the","What are the inspection requirements for premium nonwood containers before reuse?","Premium commercial containers must be inspected to ensure they provide proper lifting capability, internal bracing, and a secure lid that protects from environmental exposure. Each container must be able to withstand at least one round-trip shipment before reuse."
"nmfc also sets forth rules pertaining to proce dures for packaging provisions , handling and service requirements , bills of lading and the ap plication of commodity descriptions . siemens assumes no responsibility for the content or ac curacy of any information on that website . if a container is locally site constructed , it must meet the requirements of this general con tainer definition section and comply with the require cargo mentslimitations . and weight shipper size container size consideration containers are to contain one or a group of parts . if physical characteristics sizeweight prohibit one container from being used it is recommend ed that two containers of the same size be uti lized for uniformity in handling and stacking , if permissible . siemens energy , inc. 2018. all rights reserved . al n , eccn ear99 318sv009301 confidential page 6 of 61 service bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines the preference for containers is to utilize the closest size exterior of a common container and change the internal packing to accept the gas turbine components . this eliminates multiple containers with minimal difference . the interior","What guidelines apply to locally constructed containers?","Locally built containers must meet general container definitions, comply with cargo weight and size limits, and maintain uniform sizes for handling and stacking. When one container cannot accommodate the load, two of the same size should be used, adjusting internal packing to fit the gas turbine components."
"clearance between the interior wall of the con tainer and part must be a minimum of 1 inch to allow for sufficient interior packing material . see table 2 for recommended interior dimen sions for typical gas turbine components . protect against damage to the overall ap pearance , coatings , or parts such as spring clips , diaphragm seal tips , air foils , machined fits , and bearing babbitt . it is recommended that all wood constructed containers at a minimum be banded with steel or polyester strapping prior to shipment . all plastichighdensity polyethylene hdpe crates are to be banded with polyester strap ping . container construction standard wooden the following information is intended as instruc tion for new container manufacture and as a guideline when evaluating a container for reuse . general containers are to be of standard commercial shipping size . do not use container sizes that would prevent a forklift from safely handling and transporting packaged components . containers should provide capable forklift access or are required to be shipped banded to a suitable pallet . containers should provide a stable footprint to prevent tipping or are required to be shipped banded to a","What are the clearance and strapping requirements for containers used for gas turbine components?","Containers must maintain at least 1 inch of clearance between the part and the interior wall for packing material. Wooden containers should be banded with steel or polyester straps, while HDPE crates must use polyester strapping. Containers should allow forklift access and have a stable footprint or be banded to a pallet to ensure safe handling."
"suitable pallet . the physical size of the containers is to be determined by the number of parts in the complete set and each individual parts di mensions and weight . a container with multiple parts must have internal dividers to prevent partto part con tact damage during shipping and storage . re fer to interior packing requirement section . internal bracing must be included such that it holdssupports the parts in place preventing the parts from moving or shifting during transit . the bracing should not allow abrasion between the parts or the part and the con tainer . bracing internal support in conjunction with the packing materials is required in six direc tions two vertical and four horizontal to note under no circumstances should corrugated cardboard boxes be used as an exteriorshipping con tainer . container side panels , top and bottom are to be constructed of a minimum of inch , 5 ply , exterior grade plywood . large part containers for example multi ple baskets , transitions , diaphragms , etc . 10 cubic feet in volume or larger are to utilize 2 by 4 inch dimensional lumber for internal frame construction and rein forcement .","What construction and bracing requirements must containers for large turbine components meet?","Containers must be sized according to part dimensions and weight, with internal dividers to prevent contact between parts. Internal bracing must secure components in six directions (two vertical, four horizontal). Exterior-grade 5-ply plywood is required for panels, and large containers over 10 cubic feet must include 2x4 lumber for internal framing. Corrugated cardboard is prohibited for exterior use."
"small containers for example two bas kets , one transition , smaller quantities of blades or vanes , etc . less than 10 cubic feet in volume may be constructed with out the use of internal or external frame construction . the small container must be constructed with screws and waterproof adhesive on joints . do not apply adhesive on the top or access side of the container . runners for forklift access are to be pro vided by wooden 4 by 4 inch dimensional lumber or equivalent . containers are to be secured using screws with suitable engagement length or re usable fasteners such as hinges , hasps , etc . crates built with nails can be stabi lized with screws add wooden protection siemens energy , inc. 2018. all rights reserved . al n , eccn ear99 318sv009301 confidential page 7 of 61 service bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines between part and nails floor crate be longs to customer . sure that it is done safely and in compli ance with applicable laws . note nails and staples are not acceptable for securing any element of a","What are the construction requirements for small containers under 10 cubic feet?","Small containers under 10 cubic feet may omit frame construction but must use screws and waterproof adhesive for joints (except on the top or access side). Forklift runners must use 4x4 lumber, and containers should use screws or reusable fasteners. Nails or staples are not acceptable for securing any container element."
"wooden container . refer to figures 1 through 7 and table 2 for recommendations and dimension information for standard wooden shipping containers . premium commercial containers commercially available are to be of plastic highdensity polyethylene hdpe or similar materials . containers commercially available are re quired to have matching lids utilizing in tegrated securable fasteners . interior packing note under no circumstances should crushed newspapers , foam popcorn or peanuts be used as interior pack ing materials . general interior packaging should cushion and protect components from physical and mechanical damage , including abrasion . interior packing must be able to mitigate shock ship vibration pinghandling . component can not be al lowed physical contact with the inner sur faces or internal bracessupport of a con tainer . during and corrugated boxessheets may be used as intermediateinterior packing . components can not be packaged in such a manner that components are support ing any mechanical load created by other components or the container . interior partitions will be used to create compartments for multiple components of sets . the partitions provide protection to the parts by eliminating metalto metal contact as well as securing the part from excessive movement .","What materials and methods are recommended for interior packing of turbine components?","Interior packing must cushion and protect components from shock, vibration, and abrasion. Crushed paper, foam peanuts, or popcorn are prohibited. Components must not touch container surfaces or each other. Interior partitions made of suitable materials must separate components to avoid metal-to-metal contact and excessive movement."
"partitions will be made utilizing a minimum of inch , 3 ply , plywood or equivalent , or hdpe or equivalent material . multilevel stacking of components re quires the use of interior partitions andor vertical supports and sidewall cleats sup porting a plywood layer dividerfalse bot tom . interior partitions are also required if multiple parts are to be packaged on the top layer versus a single component . components with internal cavities are to be protected to prevent foreign object contamination of the cavity . protection can be provided by bagging or wrapping the part in plastic , andor the use of spe cializedmolded covers , end caps , andor any other means necessary . examples of internal cavities that need protection in clude , but are not limited to , oil or steam and air cooling passageways , internal coated areas of transitions and baskets . interior packing can be rigid foam or ap propriate sleeve type material providing component protection . liquid foam inte rior packing is acceptable if provisions equipment , operator and placement of foam have been made to ensure the part is properly supported in side of the container . the party preparing","What are the interior partition and cavity protection requirements for turbine component packaging?","Interior partitions must be made from at least 3-ply plywood or HDPE and used for multilevel stacking with vertical supports or cleats. Components with internal cavities must be protected from foreign objects using plastic wrapping, molded covers, or end caps. Acceptable packing includes rigid or sleeve-type foam and liquid foam applied under controlled conditions."
"the shipment is solely responsible to en training , component packaging do not apply preservative to any coated surfaces , for example , thermal barrier coated tbc blades , vanes , baskets , tran sitions , etc . preservatives may be applied to gear as semblies and flow dividers as well as parts with machined surfaces . refer to the siemens energy , inc. 2018. all rights reserved . al n , eccn ear99 318sv009301 confidential page 8 of 61 service bulletin sb4180104gten01 november 28 , 2018 title gas turbine components , proper packaging and storage guidelines instructions for the preservatives and ap pendix b. protect seals and machined surfaces from damage during packaging and transit . protect surfaces with sleeves to prevent damage to external threads , radii , grooves and coatings . use all necessary measures for example , plastic caps to prevent entry of foreign material and moisture into open ports . internal dividers must be used to protect components from adjacent parts , internal bracing and components movement dur ing shipping . components without internal cavities or external holes , if packed in foam or bub ble wrap , do not need additional wrap ping before","What precautions should be taken when packaging coated and machined components?","Coated surfaces such as TBC blades or vanes must not receive preservatives. Machined parts can be protected with sleeves and plastic caps to avoid contamination or damage, and internal dividers must prevent movement or contact between components during shipping."
"packing in the container . see appendix b. components having internal cavities or holes must be wrapped or external bagged in polyethylene plastic before placing in the container . the polyethylene plastic can be a polyethylene bubble wrap bag . see sss packaging follow directions for ssm packaging use sss container in container . stead ssl follow directions for ssm packaging , use ssl container instead of ssm con tainer . ssm of ssxl packaging follow directions for ssm packaging , use ssxl container instead of ssm container . instead of discarding outline part , save removed outline foam and place around part for added protection . multiple components are to be packaged such that they do not carry any load or touch other components . for example , each blade and vane must have its own compartment . note under no circumstances should crushed newspapers , foam popcorn or peanuts be used as interior pack ing materials . container construction examples figures 1 through 7 these figures are provided as examples for typical recommended container construction with and without internal bracing as described in this ser vice bulletin . they represent some of the compo nents that will need","How should components with internal cavities or multiple parts be packaged?","Components with internal cavities must be bagged in polyethylene or bubble wrap before container placement. Multiple components must be isolated in their own compartments to avoid load bearing or contact, and materials like newspapers or peanuts must never be used for interior packing."
